Offset(V)          DueTime                  Period(ms) Signaled   Routine            Module
------------------ ------------------------ ---------- ---------- ------------------ ------
0xfffff88001068920 0x00000547:0x983498cc             0 -          0xfffff8800102e880 cng.sys
0xfffffa8031b44e00 0x0000052f:0x4349ae0e            10 -          0xfffff88001686dc0 tcpip.sys
0xfffff80002c80900 0x000034c9:0x8e4a4989             0 -          0xfffff80002b98730 ntoskrnl.exe
0xfffff88002c7d760 0x0000052f:0x4236f620             0 -          0xfffff88002c61010 afd.sys
0xfffffa8032d82970 0x0000052f:0x79d14b45        120000 Yes        0xfffff80002be06a0 ntoskrnl.exe
0xfffff80002c80720 0x00000534:0xb9afe3f0             0 -          0xfffff80002a75050 ntoskrnl.exe
0xfffff880024a7ba0 0x0000052f:0x44d825bc             0 -          0xfffff880024612b0 HTTP.sys
0xfffffa803258f900 0x0000052f:0x487ca160        300000 Yes        0xfffff80002be06a0 ntoskrnl.exe
0xfffffa8038467b58 0x0000052e:0xe74cec97             0 Yes        0xfffff80002b9a190 ntoskrnl.exe
0xfffffa8031c0ca10 0x0000052f:0x42d41870            25 Yes        0xfffff880019d30c0 CLASSPNP.SYS
0xfffffa8031c82c60 0x0000052f:0x4309d680            14 Yes        0xfffff88003c09274 vm3dmp.sys
0xfffffa8030e54460 0x0000052f:0x4356e156           500 Yes        0xfffff88000dd984c ataport.SYS
0xfffffa8030e3f460 0x0000052f:0x4356e156           500 Yes        0xfffff88000dd984c ataport.SYS
0xfffff80002c5a7d8 0x0000052e:0xed3d7b93         15000 Yes        0xfffff80002a91b20 ntoskrnl.exe
0xfffff8800177c670 0x0000052e:0xe62021e0             0 -          0xfffff880015732b0 NETIO.SYS
0xfffff8800177b5b0 0x0000052e:0xe62021e0             0 -          0xfffff880015732b0 NETIO.SYS
0xfffff8800177a4f0 0x0000052e:0xe62021e0             0 -          0xfffff880015732b0 NETIO.SYS
0xfffffa8030ee1db0 0x0000052f:0x43bc0f80             0 -          0xfffff880015732b0 NETIO.SYS
0xfffff880017868f0 0x0000052e:0xe62021e0             0 -          0xfffff880015732b0 NETIO.SYS
0xfffff80002ce27a0 0x0000052e:0xe6464780             0 -          0xfffff80002b1df40 ntoskrnl.exe
0xfffff80002c80720 0x00000534:0xb9afe3f0             0 -          0xfffff80002a75050 ntoskrnl.exe
0xfffff880012a7198 0x0000052f:0x3265e19a             0 -          0xfffff8800124af60 Ntfs.sys
0xfffffa8031ff4d80 0x0000052f:0x4457266a             0 -          0xfffff88002cea010 netbt.sys
